epoch;lr-Adam;step;train_loss_epoch;train_loss_step;val_MAE;val_MAPE;val_RMSE;val_SMAPE;val_loss
;0,0001;0;;;;;;;
0;;9;;;0,149319174;1926,178096;0,378595118;0,537628625;0,128839159
0;;9;0,107383213;;;;;;
;0,0001;10;;;;;;;
1;;19;;;0,119184593;286,4728292;0,253898383;0,523740229;0,120297857
1;;19;0,094921343;;;;;;
;0,0001;20;;;;;;;
2;;29;;;0,108029312;56,24341815;0,211971632;0,532263005;0,114611255
2;;29;0,086774431;;;;;;
;0,0001;30;;;;;;;
3;;39;;;0,105277068;14,64047921;0,200117284;0,551092089;0,11041171
3;;39;0,083648574;;;;;;
;0,0001;40;;;;;;;
4;;49;;0,079655052;;;;;
4;;49;;;0,105232898;5,214351067;0,196363943;0,570749754;0,106938765
4;;49;0,072932866;;;;;;
;0,0001;50;;;;;;;
5;;59;;;0,105905283;2,880392907;0,196545098;0,584766423;0,103931243
5;;59;0,068364628;;;;;;
;0,0001;60;;;;;;;
6;;69;;;0,106541419;2,052596128;0,197300992;0,595303459;0,100549642
6;;69;0,066345929;;;;;;
;0,0001;70;;;;;;;
7;;79;;;0,107178944;1,706156248;0,197974493;0,602185839;0,096650062
7;;79;0,062386071;;;;;;
;0,0001;80;;;;;;;
8;;89;;;0,107788471;1,366452316;0,198565972;0,606421392;0,092906177
8;;89;0,060955782;;;;;;
;0,0001;90;;;;;;;
9;;99;;0,053448101;;;;;
9;;99;;;0,108780216;1,033248487;0,199747097;0,612992768;0,090622125
9;;99;0,055880431;;;;;;
;0,0001;100;;;;;;;
10;;109;;;0,109647919;0,868546369;0,200693216;0,619366645;0,088893972
10;;109;0,059971152;;;;;;
;0,0001;110;;;;;;;
11;;119;;;0,109294798;0,911404086;0,200077195;0,616571769;0,086424523
11;;119;0,058296422;;;;;;
;0,0001;120;;;;;;;
12;;129;;;0,109016861;0,940743231;0,199658753;0,613961908;0,084534826
12;;129;0,052923023;;;;;;
;0,0001;130;;;;;;;
13;;139;;;0,108482345;0,977461679;0,19893877;0,608970881;0,083579036
13;;139;0,052003664;;;;;;
;0,0001;140;;;;;;;
14;;149;;0,05453942;;;;;
14;;149;;;0,108556531;0,917600421;0,1990918;0,608592218;0,083354974
14;;149;0,055701272;;;;;;
;0,0001;150;;;;;;;
15;;159;;;0,108867232;0,857754639;0,199499561;0,610759276;0,082821111
15;;159;0,05357704;;;;;;
;0,0001;160;;;;;;;
16;;169;;;0,109023895;0,826067143;0,19968877;0,611798927;0,082252872
16;;169;0,052636248;;;;;;
;0,0001;170;;;;;;;
17;;179;;;0,109310199;0,796923912;0,200038866;0,614102917;0,081157281
17;;179;0,053850687;;;;;;
;0,0001;180;;;;;;;
18;;189;;;0,109805417;0,730052052;0,200674481;0,617801226;0,080880473
18;;189;0,054068321;;;;;;
;0,0001;190;;;;;;;
19;;199;;0,054389932;;;;;
19;;199;;;0,110254813;0,681553831;0,201297328;0,621117229;0,080928358
19;;199;0,051093771;;;;;;
;0,0001;200;;;;;;;
20;;209;;;0,110379311;0,666948534;0,201483976;0,621926428;0,080678949
20;;209;0,052830611;;;;;;
;0,0001;210;;;;;;;
21;;219;;;0,110377701;0,669401847;0,201409497;0,622064424;0,080201087
21;;219;0,053198525;;;;;;
;0,0001;220;;;;;;;
22;;229;;;0,110198128;0,686292027;0,20109912;0,620793956;0,079957156
22;;229;0,053202562;;;;;;
;0,0001;230;;;;;;;
23;;239;;;0,110089522;0,697559365;0,200930031;0,620053417;0,079313768
23;;239;0,053326211;;;;;;
;0,0001;240;;;;;;;
24;;249;;0,050987469;;;;;
24;;249;;;0,110181743;0,696751321;0,201012811;0,62083944;0,078690134
24;;249;0,052396815;;;;;;
;0,0001;250;;;;;;;
25;;259;;;0,110858365;0,648773144;0,201934772;0,625718399;0,078541208
25;;259;0,052924406;;;;;;
;0,0001;260;;;;;;;
26;;269;;;0,11165101;0,611609891;0,202968954;0,631829187;0,078794725
26;;269;0,05405699;;;;;;
;0,0001;270;;;;;;;
27;;279;;;0,112016942;0,606676038;0,203365155;0,634985977;0,078178474
27;;279;0,051344646;;;;;;
;0,0001;280;;;;;;;
28;;289;;;0,111575679;0,628681667;0,202744579;0,631603961;0,077408244
28;;289;0,054168983;;;;;;
;0,0001;290;;;;;;;
29;;299;;0,048841715;;;;;
29;;299;;;0,111498443;0,628340922;0,202618278;0,630910084;0,077631181
29;;299;0,051186316;;;;;;
;0,0001;300;;;;;;;
30;;309;;;0,111541666;0,627740431;0,202616273;0,631324826;0,077573405
30;;309;0,051121077;;;;;;
;0,0001;310;;;;;;;
31;;319;;;0,111162358;0,655267305;0,202108772;0,628513232;0,077143443
31;;319;0,054704687;;;;;;
;0,0001;320;;;;;;;
32;;329;;;0,110820666;0,685656412;0,201672405;0,625745161;0,077188005
32;;329;0,052880414;;;;;;
;0,0001;330;;;;;;;
33;;339;;;0,111824272;0,656594409;0,202957696;0,633885471;0,076855659
33;;339;0,049278254;;;;;;
;0,0001;340;;;;;;;
34;;349;;0,056962554;;;;;
34;;349;;;0,111732644;0,688926873;0,202847237;0,633116065;0,076022294
34;;349;0,051278612;;;;;;
;0,0001;350;;;;;;;
35;;359;;;0,111700106;0,712384472;0,202807144;0,632409186;0,075496201
35;;359;0,052396492;;;;;;
;0,0001;360;;;;;;;
36;;369;;;0,111932553;0,736157295;0,203134724;0,633801396;0,075004796
36;;369;0,051080938;;;;;;
;0,0001;370;;;;;;;
37;;379;;;0,111917101;0,76809543;0,203134153;0,632901758;0,074578719
37;;379;0,05404717;;;;;;
;0,0001;380;;;;;;;
38;;389;;;0,112858263;0,707227265;0,204293246;0,640235045;0,074885649
38;;389;0,046205042;;;;;;
;0,0001;390;;;;;;;
39;;399;;0,051143235;;;;;
39;;399;;;0,113624368;0,654423423;0,205239321;0,645923261;0,074725394
39;;399;0,051016463;;;;;;
;0,0001;400;;;;;;;
40;;409;;;0,114122331;0,641518271;0,205872555;0,649558113;0,073509674
40;;409;0,050632924;;;;;;
;0,0001;410;;;;;;;
41;;419;;;0,113840886;0,656689172;0,205562837;0,646436809;0,072686972
41;;419;0,048194726;;;;;;
;0,0001;420;;;;;;;
42;;429;;;0,112550684;0,706392643;0,204017664;0,634652488;0,071754706
42;;429;0,051053669;;;;;;
;0,0001;430;;;;;;;
43;;439;;;0,11222506;0,687229918;0,203584439;0,631452221;0,07151563
43;;439;0,050797176;;;;;;
;0,0001;440;;;;;;;
44;;449;;0,046065686;;;;;
44;;449;;;0,113153166;0,607027755;0,204699188;0,63944224;0,071732372
44;;449;0,048577181;;;;;;
;0,0001;450;;;;;;;
45;;459;;;0,114068879;0,570471104;0,20582623;0,647197776;0,07123793
45;;459;0,047546509;;;;;;
;0,0001;460;;;;;;;
46;;469;;;0,11434124;0,552050931;0,206164673;0,649583468;0,07062842
46;;469;0,047370557;;;;;;
;0,0001;470;;;;;;;
47;;479;;;0,112697219;0,565977134;0,204133494;0,635587337;0,069905299
47;;479;0,050356773;;;;;;
;0,0001;480;;;;;;;
48;;489;;;0,111752779;0,5732748;0,202885041;0,627906857;0,069001906
48;;489;0,051518838;;;;;;
;0,0001;490;;;;;;;
49;;499;;0,056331066;;;;;
49;;499;;;0,110933224;0,561882486;0,201660831;0,621970246;0,068779297
49;;499;0,049752203;;;;;;
;0,0001;500;;;;;;;
50;;509;;;0,111380767;0,535016336;0,202055332;0,626472377;0,068756864
50;;509;0,050213546;;;;;;
;0,0001;510;;;;;;;
51;;519;;;0,112120702;0,519143883;0,202839986;0,633153539;0,068718949
51;;519;0,047994654;;;;;;
;0,0001;520;;;;;;;
52;;529;;;0,111958617;0,517212015;0,202626936;0,63192218;0,068021547
52;;529;0,046474118;;;;;;
;0,0001;530;;;;;;;
53;;539;;;0,11225217;0,512434211;0,202952847;0,634365362;0,06800389
53;;539;0,045599404;;;;;;
;0,0001;540;;;;;;;
54;;549;;0,045373572;;;;;
54;;549;;;0,111007122;0,5148626;0,200937712;0,626047256;0,067758368
54;;549;0,048562168;;;;;;
;0,0001;550;;;;;;;
55;;559;;;0,11039361;0,520547445;0,199963279;0,622115045;0,066829804
55;;559;0,049987466;;;;;;
;0,0001;560;;;;;;;
56;;569;;;0,111377629;0,514638254;0,201212111;0,629799419;0,06706684
56;;569;0,04440051;;;;;;
;0,0001;570;;;;;;;
57;;579;;;0,112146427;0,508227802;0,201909578;0,636645687;0,067791905
57;;579;0,047301511;;;;;;
;0,0001;580;;;;;;;
58;;589;;;0,111801545;0,510815423;0,201426529;0,634118652;0,067551898
58;;589;0,047909265;;;;;;
;0,0001;590;;;;;;;
59;;599;;0,04634724;;;;;
59;;599;;;0,111119419;0,519189624;0,200582955;0,628848118;0,066699295
59;;599;0,049443723;;;;;;
;0,0001;600;;;;;;;
60;;609;;;0,111378873;0,516890832;0,200925907;0,630705599;0,06656582
60;;609;0,046430227;;;;;;
;0,0001;610;;;;;;;
61;;619;;;0,112490567;0,510164905;0,20221916;0,639727366;0,067218943
61;;619;0,045792489;;;;;;
;0,0001;620;;;;;;;
62;;629;;;0,112749015;0,508350546;0,202524802;0,641840086;0,06709429
62;;629;0,047760431;;;;;;
;0,0001;630;;;;;;;
63;;639;;;0,112892965;0,508608274;0,2026823;0,643079235;0,067100793
63;;639;0,045054722;;;;;;
;0,0001;640;;;;;;;
64;;649;;0,045525534;;;;;
64;;649;;;0,11323186;0,507291515;0,203179156;0,645145275;0,067388044
64;;649;0,048311457;;;;;;
;0,0001;650;;;;;;;
65;;659;;;0,11290722;0,508524502;0,20285572;0,642461985;0,067150926
65;;659;0,049097609;;;;;;
;5,00E-05;660;;;;;;;
66;;669;;;0,112589057;0,513111162;0,202410416;0,640341556;0,066748971
66;;669;0,048145398;;;;;;
;5,00E-05;670;;;;;;;
67;;679;;;0,112570705;0,512512189;0,202379581;0,640352656;0,06649356
67;;679;0,048577337;;;;;;
;5,00E-05;680;;;;;;;
68;;689;;;0,112802347;0,508188227;0,202751561;0,641789467;0,067144508
68;;689;0,045803026;;;;;;
;5,00E-05;690;;;;;;;
69;;699;;0,042222986;;;;;
69;;699;;;0,112800899;0,508880106;0,202711859;0,642009923;0,066978299
69;;699;0,044986374;;;;;;
;5,00E-05;700;;;;;;;
70;;709;;;0,11245297;0,512443768;0,202242461;0,639538836;0,066445913
70;;709;0,048708789;;;;;;
;5,00E-05;710;;;;;;;
71;;719;;;0,111917092;0,517707427;0,201615767;0,635106158;0,066183564
71;;719;0,04515791;;;;;;
;5,00E-05;720;;;;;;;
72;;729;;;0,111843482;0,51898292;0,201542786;0,634427262;0,066155365
72;;729;0,047539101;;;;;;
;5,00E-05;730;;;;;;;
73;;739;;;0,111908295;0,517916586;0,201630558;0,634900796;0,066240539
73;;739;0,04678706;;;;;;
;5,00E-05;740;;;;;;;
74;;749;;0,051171412;;;;;
